,title,desc,exp,rating,cuisine_tags,img,url,location,adress,post,more_desc,phone,social_url
10,SunSet Cafe,"Klassik Amerika mətbəxi
",$$$,9.0,"Amerika, meksikan",https://prod-wolt-venue-images-cdn.wolt.com/5e58ed504b9b4faa73ee5a25/970fb0e2-5a16-11ea-b11a-0a586475cdcf_IMG_9456.jpg,https://wolt.com/az/aze/baku/restaurant/sunset-cafe,"https://maps.google.com/?q=40.3701173394329,49.839153152852","Sabail dist, Hajı Zeynalabdin Taghıyev 8A",az1005 Baku,"Klassik Amerika mətbəxi
",+99412492 22 92,https://www.facebook.com/pg/SunsetCafeBaku/
11,O’Kööz Grill and Сhill,The Spicy Grill,$$,,"qril, pizza, lahmacun",https://prod-wolt-venue-images-cdn.wolt.com/6035f56b74e6e4ab22fc3cc0/022441b0-7742-11eb-bbd3-760e22d0793c_lu_l___t.jpg,https://wolt.com/az/aze/baku/restaurant/okz-grill-and-hill,"https://maps.google.com/?q=40.37291,49.839585",Sabail ray. Nizami str. 77,AZ1000 Baku,The Spicy Grill,+994504774444,https://www.facebook.com/kozplusbaku/?ref=page_internal
12,Livan Shaurma,Əsil Livan dadlı Şaurmanı bizdə Dad!,$,8.6,"şaurma, kartof fri, salat",https://prod-wolt-venue-images-cdn.wolt.com/5fa4f261499afeabb74ef8e7/7a5c9f0a-200e-11eb-8769-5e4a79cfc8a9_3.saurma_kumpir_7.90azn.png,https://wolt.com/az/aze/baku/restaurant/livan-shaurma,"https://maps.google.com/?q=40.37147140819272,49.83875185648157","Yusif Mammadaliyev Str. 26, Baku 1005, Azerbaijan",AZ1005 Baku,Əsil Livan dadlı Şaurmanı bizdə Dad!,+994555335707,https://wolt.com/en/discovery
13,Prive Steak Gallery,#Weloveprive #Welovemeat,$$$,9.0,"steyk, steykhaus",https://prod-wolt-venue-images-cdn.wolt.com/5f250d0555a717aba483cb4a/3ed3d810-d3f4-11ea-bb89-2226a0ec1ad4_img_7508.jpg,https://wolt.com/az/aze/baku/restaurant/prive-steak-house,"https://maps.google.com/?q=40.37228398079378,49.84161210528014","Sabail District, Khagani 14A",AZ1000 Baku,#Weloveprive #Welovemeat,+994502687338,http://www.privebaku.com/
14,Prive Shop,#Weloveprive #Welovemeat,$$$,9.2,"shop, ət, steyk",https://prod-wolt-venue-images-cdn.wolt.com/5f2d184401afb21ec6c0e159/dcead940-d8c2-11ea-8d6c-f20a55234a95_t_bone_steak.jpg,https://wolt.com/az/aze/baku/restaurant/prive-steak-gastronomy,"https://maps.google.com/?q=40.37230032835964,49.841684524919096",Dette er et virtuelt venue,AZ1000 Baku,#Weloveprive #Welovemeat,+994502687338,http://www.privebaku.com/
15,Merkez Lahmacun,Türk Mətbəxi,$$,8.8,"dönər, lahmacun, kəbab",https://prod-wolt-venue-images-cdn.wolt.com/5db93e885640fdd54681e321/02ab2f778467284200b5ddad0858b647,https://wolt.com/az/aze/baku/restaurant/merkez-lahmacun,"https://maps.google.com/?q=40.37120032372871,49.83797818422317",H.Z. Taghiyev str. 16/18,AZ1000 Baku,Turkish Cuisine,+994124933536,https://www.facebook.com/merkezlahmacunn/
16,Wok No 1,Əsl Asianın dadını bizimlə dad!,$$,8.2,"asiya, nudls, roll",https://prod-wolt-venue-images-cdn.wolt.com/600a7adf3c431209f3cf2971/094a086a-5ef8-11eb-8eca-5e2d18086928_image_from_ios__1_.png,https://wolt.com/az/aze/baku/restaurant/wok-no-1,"https://maps.google.com/?q=40.370838118007526,49.838396684702154",Tagıyev 14,AZ1000 Baku,Əsl Asianın dadını bizimlə dad!,+994125983711,Dəstək söhbətini aç
17,Sweet Levantine,Hər gün Levantine günüdür.,$$,9.0,"şirniyyat, un məmulatları, künefe",https://prod-wolt-venue-images-cdn.wolt.com/5f902efbdbdbbc3cfbcd56a9/f6e7ad68-139c-11eb-84fe-0e73cefaefbe_photo_2020_10_21_16_52_27.jpg,https://wolt.com/az/aze/baku/restaurant/sweet-levantine,"https://maps.google.com/?q=40.3715391820398,49.838661088102356",Yusif Mammadaliyev 42A,AZ1005 Baku,Hər gün Levantine günüdür.,+994514443444,https://www.facebook.com/sweetlevantine/
18,212 Dönər,Doner Boutique,$,8.8,"dana əti, dönər, kartof fri",https://prod-wolt-venue-images-cdn.wolt.com/5eb00ab1a4197a0216ab45cf/da22cf6c-9059-11ea-ae01-0a58646e6639_whatsapp_image_2020_05_06_at_15.27.36.jpeg,https://wolt.com/az/aze/baku/restaurant/212-doner,"https://maps.google.com/?q=40.37272392118317,49.83920249938846",Nizami Str. 77,AZ1000 Baku,Doner Boutique,+994557241212,https://www.facebook.com/212Doner
19,Nutelland,Sizin şirin məkan ,$$,8.8,"blinçik, vafli, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5fbb7139b112583cea426e77/7b4d375e-31b0-11eb-badb-328cad406ca3_img_7936.jpg,https://wolt.com/az/aze/baku/restaurant/nutelland,"https://maps.google.com/?q=40.37135410000002,49.83868659999999","Yusif Mamedaliyev str., 25B",AZ1005 Baku,Your sweet place ,+994507722255,https://www.instagram.com/nutellandbaku/
20,Cadoro,Belçika və İtalyan şokolad və şirniyyatlar,$$$,8.8,"şirniyyatlar, dondurma, tort",https://prod-wolt-venue-images-cdn.wolt.com/5f33daca0809d99953679db3/583e66fa-e081-11ea-a0f5-eaf8295523bd_img_2451.jpg,https://wolt.com/az/aze/baku/restaurant/cadoro,"https://maps.google.com/?q=40.3706792334722,49.84054294868828","Sabail distr., Rasul Rza street 6",AZ1014 Baku,Belçika və İtalyan şokolad və şirniyyatlar,+994124939944,https://www.instagram.com/cadoroshop/?hl=ru
21,Happy Moon's,Kocaman Mutlu Lezzetler,$$,8.4,"burgers, pizza, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5fcd0e8252349c246f513047/59fcf1a2-3958-11eb-9ca3-6a5557c1f2f0_du_ru_m___sandvic____krep_genel.jpg,https://wolt.com/az/aze/baku/restaurant/happy-moons,"https://maps.google.com/?q=40.371961292523245,49.83783452014851",Nizami str. 69,AZ1005 Baku,Kocaman Mutlu Lezzetler,+994506818171,https://www.instagram.com/happymoonscafebaku/
22,Yarpaq Doner,Halal və təbii ətdən hazırlanmış dönərlər 🥙,$$,8.0,"şaurma, kartof fri, kəbab",https://prod-wolt-venue-images-cdn.wolt.com/5f478114767a2dc76cf8779f/d8e9baf6-f423-11ea-8efb-6a7810a3cd7c_img_9021.jpg,https://wolt.com/az/aze/baku/restaurant/yarpaq-doner,"https://maps.google.com/?q=40.3711240137259,49.841165288369396",Uzeyir Hajibeyov street 8,AZ1005 Baku,Halal və təbii ətdən hazırlanmış dönərlər 🥙,+994506601010,https://www.instagram.com/yarpaq.doner/?igshid=vb1xh89xwl34
23,Kinder Ville Cafe,Xanımlarınızı və uşaqlarınızı Kinder dessertləri ilə sevindirin 🍫,$,8.6,"vafli, blinçik, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5fd4f10ecd898804bcca09c0/f7ef8cd4-3dfa-11eb-9122-3af46b88bb94__mg_5925.jpg,https://wolt.com/az/aze/baku/restaurant/kinder-ville-cafe,"https://maps.google.com/?q=40.37056649673723,49.8385769533892",Haji Zeynalabdin Tagiyev str. 14,AZ1005 Baku,Xanımlarınızı və uşaqlarınızı Kinder dessertləri ilə sevindirin 🍫,+994702600009,https://www.instagram.com/kindervillecafe/
24,Senior Mansimo Molokan Park,"Dadlı desertlər, kofe, milkşeyk, limonad və dondurması bizim kafelərdədir.
",$$,,"kofe, Ammos Café och Creperi, vafli",https://prod-wolt-venue-images-cdn.wolt.com/5f97e3f2784ade598b30bfe6/f94bae00-3b93-11eb-9e58-6650e15e2582_image_11_12_20_12_12.jpeg,https://wolt.com/az/aze/baku/restaurant/senior-mansimo-molokan-park,"https://maps.google.com/?q=40.372106149787726,49.840892106080325",Khagani str. 6A,az1000 Baku,"Dadlı desertlər, kofe, milkşeyk, limonad və dondurması bizim kafelərdədir.
",+994503052166,https://www.facebook.com/pg/seniormansimo/about/?ref=page_internal
25,Tantuni & Pilaf,Boranı sizləri həm xidmət həm qida tərəfindən razı salacaq,$$,8.8,"qamburger, türk, Çizburger",https://prod-wolt-venue-images-cdn.wolt.com/5dcc1ce1f870d7d8fa35a444/21664590204babcf7e32aa82ef741faa,https://wolt.com/az/aze/baku/restaurant/borani-fountain-square,"https://maps.google.com/?q=40.37178642822319,49.83848369762336",Nigar Rafibeyli 26a,AZ1005 Baku,Boranı Restaurant is open to visitors as a family restaurant. The restaurant staff will satisfy you with food and service.,+994555055787,http://wolt.com
26,Ormado Kaffeehaus,Ormado Kaffeehaus - yalnız öz qovurma məhsullarından istifadə edir.,$$,9.2,"kofe, desert, sendviç",https://prod-wolt-venue-images-cdn.wolt.com/5daff352b9fc9342b7d4416e/1086fe330f479e457d51a672b7cda1a6,https://wolt.com/az/aze/baku/restaurant/ormado-kaffehaus,"https://maps.google.com/?q=40.371091316836576,49.83886241901928",Yusif Mammadaliyev str. 23-29,AZ1000 Baku,Ormado Kaffeehaus-a xoş gəlmisiniz. Biz yalnız öz qovurma məhsullarımızdan premium qəhvəyə xidmət edirik və ən yaxşı qəhvə ləzzətini veririk. Yeni hazırlanmış tort və bişmiş ixtisaslarımız üçün şirin və ya ləzzətli səhər yeməyimizi də təqdim edirik. İsti və ya soyuq bir qəhvə ixtisası ilə daxili vafli yaradıcılığımızı sınayın və mühitimizdə dincəlin.,+994502535563,https://ormado.de/az/
27,Burger House,Əfsanəvi Burgerlərin Evi,$$$,8.0,"burger, toyuq, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5e3979d7bf8d7033d41ac3e3/0d975b4e-4f08-11ea-8fc6-0a5864600525_b.jpg,https://wolt.com/az/aze/baku/restaurant/burger-house-baku,"https://maps.google.com/?q=40.37112972086836,49.83800273289002",H.Z Taghiyev 16/18,AZ1005 Baku,Əfsanəvi Burgerlərin Evi,+994124986878,https://www.facebook.com/burgerhousebaku/
28,The Academy Cafe,The academy of delicious food!,$$,8.4,"sup, salat, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5f3bbd63a9bff05b3ace3fc3/3b4633d2-ec1d-11ea-8641-9a610a266197_img_8034.jpg,https://wolt.com/az/aze/baku/restaurant/the-academy-cafe,"https://maps.google.com/?q=40.37248682383355,49.83864813045007",Nizami str.64B,AZ1005 Baku,The academy of delicious food!,+994124980247,https://wolt.com/
29,Tavada,İndi sizə daha yaxın!,$$,6.4,"azərbəycan, qril, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5fe5a38e8d50551ec53c21a2/dde96548-5255-11eb-af4f-b25435160aac__48.jpg,https://wolt.com/az/aze/baku/restaurant/tavada,"https://maps.google.com/?q=40.372264635551595,49.840530398495574","7 Khagani Street, Baku",AZ1000 Baku,İndi sizə daha yaxın!,+994552149433,https://www.instagram.com/tavada_restaurant/
30,Pizza Inn,"Pizza, Hamburger, Salatlar, Yerli və Avropa Mətbəxinin Yeməkləri",$$$,9.2,"pizza, kəbab, qril",https://prod-wolt-venue-images-cdn.wolt.com/5d400a43b7d976e5caaaafc2/02defcba6e219e666eccf23d94a5d2bb,https://wolt.com/az/aze/baku/restaurant/pizza-inn,"https://maps.google.com/?q=40.37131475842516,49.838077425956726",Fountains Square 8,AZ1005 Baku,"Pizzas, Burgers, Salads and Dishes of Local and European Cuisine",+994124938216,https://www.facebook.com/PizzaInnBaku/
31,Pizza da Roma,Mükəmməl zövq balansı ,$$$,9.2,"pasta, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5e8c47dcf31c0326af7fa34c/047c36c4-7b45-11ea-9b26-0a5864659005_myasnaya%20pizza.JPG,https://wolt.com/az/aze/baku/restaurant/pizza-da-roma,"https://maps.google.com/?q=40.37138592691706,49.839508654950905","Sabail district, Rasul Rza str. 25",AZ1000 Baku,"Şef- aşpazımız qeyd etdiyi kimi pizzanın sirri sousda, pendirdə və ya doldurucularda deyil, yalnız düzqün undan hazırlanmış xəmirdədir",+994505974000,https://www.facebook.com/Pizza-da-Roma-Baku-102514004649755/
32,Hollywood,İnsanların xoş vaxt keçirə biləcəyi və ləzzətli yeməklərdən ləzzət alacağı məkan,$$$,,"beyondmeat, yağlı toyuq, balıq",https://prod-wolt-venue-images-cdn.wolt.com/5e8da0c8f79f1473438a3828/13a8fc4e-7f0b-11ea-b5e8-0a5864675a06_toyuq_tagliatelle.jpg,https://wolt.com/az/aze/baku/restaurant/hollywood,"https://maps.google.com/?q=40.37159306436577,49.83863509035206",Yusif Mammedaliyev str. 19,AZ1000 Baku,İnsanların xoş vaxt keçirə biləcəyi və ləzzətli yeməklərdən ləzzət alacağı məkan,+994503019061,https://wolt.com/
33,Corner Eatery & Cafe , ,$$$,8.8,"burger, desert, hotdoq",https://prod-wolt-venue-images-cdn.wolt.com/5e96e27402c8dfb73ce6ab2e/6af41972-1ce3-11eb-9278-c2de9044bd8d_corner_wolt_cover.jpg,https://wolt.com/az/aze/baku/restaurant/nizami-62,"https://maps.google.com/?q=40.37205511551817,49.83801559115582",Nizami 62,AZ1005 Baku,...,+994505650062,https://www.instagram.com/st.nizami62/?hl=en
34,Köz Plus Nizami,Közdə bişən ləzzətlər,$$,8.4,"dönər, içkilər, köftə",https://prod-wolt-venue-images-cdn.wolt.com/5f93ee15720dc5cc27853b92/f495ba8a-15d8-11eb-b6ce-3aeffceb8ae1_shaurma.jpg,https://wolt.com/az/aze/baku/restaurant/koz-plus-nizami,"https://maps.google.com/?q=40.372836436601354,49.839338236773145",Sabail ray. Nizami str. 77,AZ1000 Baku,Közdə bişən ləzzətlər,+994504774444,https://www.facebook.com/kozplusbaku/?ref=page_internal
35,Malakan Sushi,"""Premium klass"" təsəvvürünü bizimlə dəyişin",$$,,"suşi, sprinqrol, maki",https://prod-wolt-venue-images-cdn.wolt.com/60472c2b0d8782d460d2bf9a/df077f0a-826b-11eb-84e5-02f02aff312f_gril_set.jpg,https://wolt.com/az/aze/baku/restaurant/malakan-oishi-sushi,"https://maps.google.com/?q=40.3707986,49.840152",Rasul Rza 19,AZ1000 Baku,"""Premium klass"" təsəvvürünü bizimlə dəyişin",+994558222732,https://www.instagram.com/sushi_oishi_malakan/
36,Boombalambuz, ,$,,"blinçik, desert, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5e3d0955ebaf9deec5d8394f/5a926158-4979-11ea-b410-0a586475ce3f_DSC09878%20copy.jpg,https://wolt.com/az/aze/baku/restaurant/boombalambuz,"https://maps.google.com/?q=40.37072113970363,49.83847788249661",Haji Zeynalabdin Taghiyev str. 20C,AZ1000 Baku,"BoomBalamBuz - yeni dad çalarlarının axtarışında olanlar üçün özünəməxsus istirahət formatıdır. Burada siz lakonik interyer və xoş mühitin qayğıkeş işçilər ilə birlikdə yaratdığı ahəngi asudə vaxtınızın əvəzolunmaz komponentinə çevirəcəksiniz. BoomBalambuzun konseptual fəlsəfəsi qonaqlara ən dadlı frikşeyk və qaynar içkilər təqdim etməkdən ibarətdir. Nutella xanım, Qırmızı Papaq, Robert Brownie Jr. və s. – sadəcə nağıl qəhrəmanları deyil, bizim baristaların yaradıcı və çılğın fantaziyalarının dadlı məhsuludur. Bakının mərkəzində yerləşən məkanımız qonaqları yüksək keyfiyyət və demokratik qiymət siyasəti ilə hər gün sevindirir. Xoş gəlmişsiniz!",+99450515 26 66,https://www.instagram.com/boombalambuz/?hl=en
37,Kumpir №1,"Rain or shine, it’s time to dine",$$,8.2,azərbəycan,https://prod-wolt-venue-images-cdn.wolt.com/5fc0c0ccfc85a1df04988f73/4c8ed9f6-86fe-11eb-a444-d6b735ecb45d_cover.jpg,https://wolt.com/az/aze/baku/restaurant/xash-house,"https://maps.google.com/?q=40.370615574027674,49.83867969992176","Sabail district, Haji Zeynalabdin Tagiyev str. 21 A",AZ1000 Baku,"Rain or shine, it’s time to dine",+994507337377,https://wolt.com/en/discovery
38,La Vera Pizza,İtalyan üsulu ilə odun atəşində bişirilmiş pizzalar sizi gözləyir!,$$,8.8,"pizza, sup, salat",https://prod-wolt-venue-images-cdn.wolt.com/5e2977e3e8fc194171b4e3ed/1e386ff6-3dce-11ea-95ec-0a5864733d0b_QARSHIQ.jpg,https://wolt.com/az/aze/baku/restaurant/la-vera-pizza,"https://maps.google.com/?q=40.37173974621931,49.84101504192625",Mardanov Gardashları str. 6,az1000 Baku,İtalyan üsulu ilə odun atəşində bişirilmiş pizzalar sizi gözləyir!,+99412498 98 32,https://www.facebook.com/pg/LaVeraPizzaBaku/about/?ref=page_internal
39,Kebab Express,Tez və Dadlı!,$$,7.6,"kəbab, roll, qablaşdırma",https://prod-wolt-venue-images-cdn.wolt.com/5e316f7c773812a11feac16a/3eecf59a-428e-11ea-b9ff-0a586474b206_A.png,https://wolt.com/az/aze/baku/restaurant/kebab-express,"https://maps.google.com/?q=40.371730552240194,49.841030574684204",Mardanov Gardashları str. 6,az1000 Baku,Tez və Dadlı!,+99412498 98 32,https://www.facebook.com/pg/KebabExpressBaku/about/?ref=page_internal
40,Adam's Curry,Çin və Hindistan Mətbəxi 🥢,$$,8.2,"hindi, çin, vegetarian",https://prod-wolt-venue-images-cdn.wolt.com/5fae8e1e2dba9acb66d0685e/ab217eba-28a8-11eb-96da-7e2cf4686b55_img_2519.jpg,https://wolt.com/az/aze/baku/restaurant/adams-curry,"https://maps.google.com/?q=40.3709943,49.8379184","Haji Zeynalabdin Tagiyev str., 19",AZ1000 Baku,Çin və Hindistan Mətbəxi 🥢,+994552882408,https://wolt.com/az/
41,Mozzarella Nizami Küç. ,"Müasir Avropa Restoranı
",$$$,9.6,"içkilər, avropa, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5e7dd634bbfa56e39062e074/f511b936-7016-11ea-94f8-0a58647f8730_IMG_1773.jpg,https://wolt.com/az/aze/baku/restaurant/mozzarella-nizami-str,"https://maps.google.com/?q=40.37285097151832,49.84054106856597",Nizami Str. 80A,AZ1000 Baku,"Sevimli yeməklərinizin əla bişirilib gözəl təqdim olunduğu məkan.
",+994514364848,https://www.instagram.com/mozzarella_baku/
42,The House Cafe,"Timeless taste, Everlasting warmth.",$$$,9.0,"pizza, lemonad, içkilər",https://prod-wolt-venue-images-cdn.wolt.com/5fcfd14993fcde85bfb71d82/1109ca22-398c-11eb-a829-e62860725d8a_img_0037.jpg,https://wolt.com/az/aze/baku/restaurant/the-house-cafe,"https://maps.google.com/?q=40.37065434227834,49.83775411715665",Tarlan Aliyarbayov 14,AZ1005 Baku,"Timeless taste, Everlasting warmth.",+994512550084,https://www.instagram.com/thehousecafe.baku/?hl=en
43,Paşa Dönər Fəvvarələr Meydanı,Dönər və daha çox,$$,,"dönər, toyuq, fastfud",https://prod-wolt-venue-images-cdn.wolt.com/5f77013b1b680e865ece7923/0c8e3d0a-049b-11eb-b987-02da8c9a7e8b_pasha_gr.jpg,https://wolt.com/az/aze/baku/restaurant/pasha-doner-fountain-square,"https://maps.google.com/?q=40.37073383812349,49.8375706342819",Fountain Square,AZ1058 Baku,Dönər və daha çox,+994552128512,https://www.facebook.com/Pashadonerbaku/
44,Meatadore,Probably the best burger you ever had in town,$$,9.2,"qamburger, Çizburger, içkilər",https://prod-wolt-venue-images-cdn.wolt.com/5dedf69b574423fd8c9be575/a09c7e2406e369b95402678f70052ea9-edits/4cebbb37d773035c3ea2d2a9edea5196,https://wolt.com/az/aze/baku/restaurant/meatadore,"https://maps.google.com/?q=40.369978312531934,49.839359521865845",Zeynalabdin Taghiyev str. 6A,AZ1001 Baku,Probably the best burger you ever had in town,+994507709966,https://www.facebook.com/meatadore/
45,Compass Pub West,Sizi xoş və ləzzətlə təəccübləndirəcəyik!,$$,8.8,"alcohol, pivə, Acılı Qanadlar",https://prod-wolt-venue-images-cdn.wolt.com/5ef0f33338c59679f7c561b2/19516f26-b621-11ea-8b92-76f28a4377d5_img_5218.jpg,https://wolt.com/az/aze/baku/restaurant/compass-pub-west,"https://maps.google.com/?q=40.37017690685506,49.83809472134039","Sabail district, Tarlan Aliyarbayov str. 12",AZ1000 Baku,Sizi xoş və ləzzətlə təəccübləndirəcəyik!,+994502911888,https://www.instagram.com/compasspub.west/
46,Kuba Lounge & Bar, ,$$,,"meksikan, pasta, desert",https://prod-wolt-venue-images-cdn.wolt.com/5eb54c21b1c95eb8913109e4/4da816d8-9125-11ea-b0d6-0a58646e6129_bolognese.jpg,https://wolt.com/az/aze/baku/restaurant/kuba-lounge-bar,"https://maps.google.com/?q=40.3710104,49.8401636",Rasul Rza str. 11,AZ1000 Baku,Sizi ac qoymayacağıq!,+994125550000,https://www.facebook.com/kubaloungebar/
47,Shokoladnitsa,"Sizi, ""Shokoladnitsa""-nın olduqca fərqli çeşidi ilə tanış olmağa dəvət edirik!",$$,8.4,"çörək, kofe, desert",https://prod-wolt-venue-images-cdn.wolt.com/5e85dc518c8fe69564e36648/1bd69386-7e48-11ea-991c-0a58647e8da1_screen_shot_2020_04_14_at_16.03.28.png,https://wolt.com/az/aze/baku/restaurant/shokoladnitsa,"https://maps.google.com/?q=40.37237092730699,49.837894454342816","Sabail dist, Nizami str. 73",az1000 Baku,"Sizi, ""Shokoladnitsa""-nın olduqca fərqli çeşidi ilə tanış olmağa dəvət edirik!",+994124930482,https://www.facebook.com/pg/Shokoladnitsa/
48,Mushu, ,,8.2,,https://prod-wolt-venue-images-cdn.wolt.com/5ebb257dbf0b5a4b319447f1/376374c8-98d5-11ea-8c02-0a58647f82c2_img_2545.jpg,https://wolt.com/az/aze/baku/restaurant/mushubaku,"https://maps.google.com/?q=40.370812688819534,49.83807716586873","Sabail district, Niyazi str. 5",AZ1000 Baku,Asian Restaurant,+994508006565,https://mushu.az/
